x y z type diam age
1301.01 888.143 1748 1 0.0421564 18762.1
1301.01 888.08 1747.73 1 0.0392868 18769.1
1300.92 888.177 1747.63 1 0.0372405 18853.1
1300.94 888.247 1747.62 1 0.0372405 18860.1
1295.97 895.246 1748.74 1 0.0384083 18890.1
1301.02 888.044 1747.73 1 0.0392868 18904.1
1297.7 888.83 1750.1 1 0.0369752 18934.1
1301.01 887.786 1747.71 1 0.0393389 19025.1
1296.36 887.008 1747.21 1 0.0371789 19085.1
1300.97 887.729 1747.77 1 0.0402518 19134.1
1297.71 888.871 1750.13 1 0.0404668 19144.1
1297.8 888.977 1750.14 1 0.0407471 19144.1
1297.86 888.851 1750.12 1 0.0392574 19144.1
1297.76 888.971 1750.13 1 0.0376691 19145.1
1297.73 888.901 1750.12 1 0.0406106 19145.1
1297.88 888.777 1750.16 1 0.0394608 19145.1
1297.69 888.883 1750.1 1 0.0369752 19146.1
1297.7 888.92 1750.09 1 0.0419533 19147.1
1297.68 888.795 1750.12 1 0.0404668 19147.1
1297.84 888.975 1750.16 1 0.0415074 19147.1
1297.86 888.745 1750.16 1 0.0368241 19149.1
1297.73 888.94 1750.11 1 0.0376691 19150.1
1297.86 889.01 1750.15 1 0.0426173 19152.1
1297.78 889.021 1750.14 1 0.0363813 19153.1
1297.86 888.708 1750.17 1 0.0375563 19154.1
1297.91 888.726 1750.18 1 0.0406019 19159.1
1295.86 895.211 1748.46 1 0.0399713 19171.1
1295.86 895.248 1748.44 1 0.0399713 19172.1
1295.8 895.176 1748.38 1 0.0364707 19173.1
1295.79 895.211 1748.4 1 0.0364707 19174.1
1295.85 895.246 1748.4 1 0.0399713 19176.1
1295.81 895.209 1748.39 1 0.0399713 19184.1
1301.05 887.812 1747.7 1 0.0360782 19309.1
1301.19 888.225 1747.53 1 0.0376135 19315.1
1295.91 895.062 1748.57 1 0.0386368 19332.1
1297.95 888.788 1750.17 1 0.0420809 19351.1
1297.88 888.983 1750.17 1 0.0410649 19351.1
1297.87 888.67 1750.17 1 0.0375563 19352.1
1297.91 888.647 1750.15 1 0.0378773 19352.1
1297.73 888.959 1750.15 1 0.0407471 19354.1
1297.74 889.014 1750.14 1 0.038262 19356.1
1297.93 888.685 1750.18 1 0.0430881 19357.1
1297.9 888.761 1750.2 1 0.0406019 19359.1
1297.66 888.915 1750.11 1 0.0401794 19359.1
